Name of Firm,unknown,unknown,"Address, line 1","Address, line 2",City,State,Zip,Capabilities Narrative,E-mail Address,CAGE Code,Congr. Dist.,County Code,UEI,E-Mall Page URL,Fax Number,Fiscal Year Ends,In TECH-Net?,Incorp. Country,Incorp. State,Last Updated,Main/Branch,Metro Stat Area,Phone Number,Trade Name,WWW Page URL,Year Established,Legal Structure,"Business Type (Service, Construction, etc)","Ownership/Self-Certs (Minority, Veteran, Woman, etc)","NAICS, All (for which firm is small)","NAICS, Buy Green and Small","NAICS, Primary and Small",FullAddress,ZipOnly
"TRUITT MACHINE & FABRICATION, INC.",CHRISTOPHER GONZALEZ,,997 G ST,,CHULA VISTA,CA,91910-3414,,truittmachine@yahoo.com,9AM11,52,073,EMP1DAGKCN95,,,1231,,USA,CA,07/25/2024,Branch,7320,619-498-1300,TRUITT MACHINE & FABRICATION INC,,2004,SC,,,332710,,,"997 G ST, , CHULA VISTA, CA 91910-3414",91910
LITTLE BLOSSOMS CHILDCARE LLC,MIREN ALGORRI,,594 4TH AVE,,CHULA VISTA,CA,91910-5504,,algorrimiren@gmail.com,9BQB3,52,073,LQBUDF7MNNC5,,,1231,,USA,CA,12/14/2024,Branch,7320,619-862-8079,LITTLE BLOSSOMS CHILDCARE LLC,,2020,LL,,"Hispanic American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Woman Owned",624410,,,"594 4TH AVE, , CHULA VISTA, CA 91910-5504",91910
ALEXANDRA SERVICES INC.,ALEXANDRA HABIB,,260 TROUSDALE DR,,CHULA VISTA,CA,91910-1014,,alexandra@angelostowing.com,9CF48,52,073,Q67LYZEV4SG1,,,1231,,USA,CA,05/09/2024,Branch,7320,619-820-2611,,,2016,CP,,Self-Certified Small Disadvantaged Business,488410,,,"260 TROUSDALE DR, , CHULA VISTA, CA 91910-1014",91910
SUSIE GOMEZ,SUSIE GOMEZ,,1551 APACHE DR,,CHULA VISTA,CA,91910-7192,,susiegomez@hotmail.com,9EGU4,52,073,EX81G9DZUU83,,,1222,,USA,CA,10/23/2024,Branch,7320,619-395-1666,,,2022,SL,,,541930,,,"1551 APACHE DR, , CHULA VISTA, CA 91910-7192",91910
BONITA-FILANC JOINT VENTURE 1,JASMINE APOSTOL,,140 N GLOVER AVE,,CHULA VISTA,CA,91910-1010,,jasmine@bonitapipeline.com,9H3J9,52,073,KFW1S49Y9H83,,,1231,,USA,CA,02/14/2025,Branch,7320,619-520-0077,,,2023,PS,,"Hispanic American, Hubzone Joint Venture, Other Minority Owned, Self-Certified Small Disadvantaged Business, Service-Disabled Veteran, Veteran",237110,,,"140 N GLOVER AVE, , CHULA VISTA, CA 91910-1010",91910
"PETER D. HUANG, O.D., INC.",PETER HUANG,,557 H ST,STE B,CHULA VISTA,CA,91910-4330,,phuang2001@cox.net,1SFC7,52,073,SV5TY9VQNLE1,,619-422-0066,1231,,USA,CA,11/27/2024,Branch,7320,619-977-6567,PETER D HUANG OD,,2002,SC,,"Asian Pacific American, Other Minority Owned, Self-Certified Small Disadvantaged Business",621320,,,"557 H ST, STE B, CHULA VISTA, CA 91910-4330",91910
SILVA ARCHITECTURE,JUAN SILVA,,129 GUAVA AVENUE,,CHULA VISTA,CA,91910-2404,,juansilva@silva-arch.com,9HPJ6,52,073,GKFZQ4NWT2H8,,,1231,,USA,CA,02/19/2025,Branch,7320,619-417-5410,,https://www.silva-arch.com/,2023,SC,,"Hispanic American, Other Minority Owned, Self-Certified Small Disadvantaged Business",541310,,,"129 GUAVA AVENUE, , CHULA VISTA, CA 91910-2404",91910
METIS BUILDERS INC,WHITTAKER CAMPBELL,,208 RICHMOND PARK PL,,CHULA VISTA,CA,91910-3052,,estimating@metisgc.com,9KYY2,52,073,N4ASDAJ4NU86,,,1231,,USA,CA,01/07/2025,Branch,7320,619-957-8254,,,2023,SC,,"Self-Certified Small Disadvantaged Business, Service-Disabled Veteran, Veteran","236220, 237990, 237990",,,"208 RICHMOND PARK PL, , CHULA VISTA, CA 91910-3052",91910
"HISPANIC DISABLED VETERAN SOLUTIONS, LLC",ENRIQUE GONZALEZ,,1149 CARLOS CANYON DR,,CHULA VISTA,CA,91910-7953,,toribo1@yahoo.com,9NE94,52,073,N56QWDSVPXY7,,,0401,,USA,CA,08/14/2024,Branch,7320,619-347-4508,,,2023,LL,,"Hispanic American, Other Minority Owned, Service-Disabled Veteran, Veteran",423450,,,"1149 CARLOS CANYON DR, , CHULA VISTA, CA 91910-7953",91910
PLUMBING INTL,FAVIOLA SANCHEZ,,416 WOODLAWN AVE APT D,,CHULA VISTA,CA,91910-4009,,fsanchez@plumbingintl.com,9Q7F0,52,073,XR81UKBLH4B5,,,1231,,USA,CA,09/13/2024,Branch,7320,619-550-7128,,www.plumbingintl.com,2023,CP,,"Hispanic American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Woman Owned",238220,,,"416 WOODLAWN AVE APT D, , CHULA VISTA, CA 91910-4009",91910
MOORE CONTRACTS LLC,JAMES MOORE,,251 H ST # 5,,CHULA VISTA,CA,91910-4703,,precisionpropertyinvest@gmail.com,9R6R7,52,073,X6JBYMBRDUD8,,,1231,,USA,CA,01/18/2025,Branch,7320,619-922-5826,,,2023,LL,,"Black American, Other Minority Owned, Self-Certified Small Disadvantaged Business","236115, 236116, 236117, 236118, 236210, 236220, 237110, 238110, 238160, 238190, 238220, 238310, 238320, 531110, 531110, 561210, 561320, 561720, 561730, 561740, 562910, 562910, 721110",,,"251 H ST # 5, , CHULA VISTA, CA 91910-4703",91910
"BAYSIDE HEALTHCARE, INC.",LYNN DEAR,,553 F ST,,CHULA VISTA,CA,91910-3515,,credentialing@ensignservices.net,9RQ75,52,073,CYXEMWBH4TQ5,,,1231,,USA,CA,11/23/2024,Branch,7320,949-245-8657,SOUTH BAY POST ACUTE CARE,,2014,CP,,,623110,,,"553 F ST, , CHULA VISTA, CA 91910-3515",91910
ZAIRA SUSANA GONZALEZ,ZAIRA GONZALEZ,,659 THIRD AVE STE E,,CHULA VISTA,CA,91910-5716,,azulzirconservices@gmail.com,9T4T8,52,073,MQMCTZDV4XF4,,,1231,,USA,CA,07/20/2024,Branch,7320,619-961-8325,AZUL ZIRCON SERVICES,,2024,SL,,"Hispanic American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Woman Owned","541199, 541213, 541219",,,"659 THIRD AVE STE E, , CHULA VISTA, CA 91910-5716",91910
SKILLED WELDING FABRICATION,IVAN RAMIREZ,,625 CLAIRE AVE,,CHULA VISTA,CA,91910-6107,"Skilled Welding Fabrication works with steel, stainless steel, aluminum, and others. We offer structural welding, handrails, guard rails, gates, stairs, pipe welding service, custom work, residential and commercial services. On site, in shop, and mobile welding services available.",swfsandiego@gmail.com,9T9B2,52,073,ZRSFME161FC3,https://www.skilledweldingfabrication.com,,1231,,USA,CA,02/04/2025,Branch,7320,619-381-3289,,,2022,CP,"Construction, Service","Hispanic American, Self-Certified Small Disadvantaged Business","238990, 238990, 332618, 332996, 336611, 713930, 812990",,,"625 CLAIRE AVE, , CHULA VISTA, CA 91910-6107",91910
POINT MORTGAGE CORPORATION,JOHNNY MARGARINI,,1061 TIERRA DEL REY,STE 302,CHULA VISTA,CA,91910-7881,,johnny@pointmtg.com,9TBC9,52,073,ZU23MA1DT8F6,,619-270-2500,1231,,USA,FL,01/08/2025,Branch,7320,305-281-8589,,www.pointmtg.com,2000,CP,,"Hispanic American, Other Minority Owned, Service-Disabled Veteran, Veteran","813910, 813920",,,"1061 TIERRA DEL REY, STE 302, CHULA VISTA, CA 91910-7881",91910
PROVIDER LLC,ABDULAZIZE SANNI,,382 VANCE ST,,CHULA VISTA,CA,91910-4509,,azize.sanni@gmail.com,9TMK8,52,073,QV3NKKDMQSC6,,,1231,,USA,CA,01/15/2025,Branch,7320,619-636-9670,,,2021,LL,,"Black American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Service-Disabled Veteran, Veteran","423140, 423210, 423220, 423390, 423410, 423420, 423430, 423450, 423620, 423690, 423920, 424110, 424120, 424130, 424720, 424940, 424990, 459420, 484230, 531110, 531110, 532420, 541611, 551112, 561422, 811490",,,"382 VANCE ST, , CHULA VISTA, CA 91910-4509",91910
ARIMATHEA CORP,CYNTHIA CAMPOS-GUTIERREZ,,915 VIA VERDE,,CHULA VISTA,CA,91910-7025,,admin@arimatheacorp.com,9U3D7,52,073,ZAZTB5VE3DD3,,,1231,,USA,CA,01/15/2025,Branch,7320,619-788-7577,,www.arimatheacorp.com,2021,SC,,"Hispanic American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Woman Owned","236210, 236220, 237130, 238110, 238130, 238190, 238210, 238220, 238310, 238320, 238340, 238350, 238390, 238910, 238990, 238990, 561210",,,"915 VIA VERDE, , CHULA VISTA, CA 91910-7025",91910
BATTLE SET GROUP L.L.C,PATRICK BATTLE,,190 CAMINO VISTA REAL,,CHULA VISTA,CA,91910-6260,,e.patrickbattle@gmail.com,9V2L7,52,073,FQXHLXEMUNE4,,,1231,,USA,CA,04/09/2024,Branch,7320,619-922-8538,,,2021,LL,,"Black American, Self-Certified Small Disadvantaged Business","541320, 541611, 541612, 541714, 561311, 561312, 611430",,,"190 CAMINO VISTA REAL, , CHULA VISTA, CA 91910-6260",91910
ON IT TRUCKING LLC,SERGIO PAZ,,831 DALE CT,,CHULA VISTA,CA,91910-6401,,sergio_d_paz@cox.net,9URP3,52,073,VM8MD9HAZ8N4,,,1231,,USA,CA,04/19/2024,Branch,7320,619-608-0160,,www.onit-trucking.com,2022,LL,,"Hispanic American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Service-Disabled Veteran, Veteran","484110, 484121, 484122",,,"831 DALE CT, , CHULA VISTA, CA 91910-6401",91910
MOBILITY PRODUCTS LLC,JAIME JAIME MARTINEZ,,333 H ST STE 5000,,CHULA VISTA,CA,91910-5561,,customerservice@quicstick.com,9WX99,52,073,SEVZKPCRJ6N3,,,1231,,USA,CA,05/31/2024,Branch,7320,619-399-6443,,,2018,LL,,"Hispanic American, Other Minority Owned, Self-Certified Small Disadvantaged Business","339113, 423450, 532283, 621999, 624120",,,"333 H ST STE 5000, , CHULA VISTA, CA 91910-5561",91910
XRT CONTRACTING LLC,RICHARD HAYES,,235 HILLTOP DR,,CHULA VISTA,CA,91910-3007,,xrtcontracting@gmail.com,9WVY8,52,073,TSU4KXQ5MKX3,,,1231,,USA,CA,06/04/2024,Branch,7320,619-455-1284,,,2024,LL,,"Hispanic American, Self-Certified Small Disadvantaged Business","236220, 237110, 237310, 238220, 541620, 561720, 561730, 562111, 562910, 562910, 812320, 812332",,,"235 HILLTOP DR, , CHULA VISTA, CA 91910-3007",91910
K-BO DESIGNZ LLC,KALIS FELLS,,768 BAJO CT,,CHULA VISTA,CA,91910-6607,,kalis.fells@yahoo.com,9X9G4,52,073,TJ9TP9D113X9,,,1231,,USA,CA,03/04/2025,Branch,7320,601-327-9845,,,2022,LL,,"Black American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Service-Disabled Veteran, Veteran",811430,,,"768 BAJO CT, , CHULA VISTA, CA 91910-6607",91910
JQD CONCRETE INC,JACQUELINE HERRERA,,480 CENTER ST APT B,,CHULA VISTA,CA,91910-8404,,jacqueline@jqdconcrete.com,9YXG7,52,073,HPCXECQUNNE3,,,1231,,USA,CA,08/02/2024,Branch,7320,619-484-2111,,,2021,CP,,"Self-Certified Small Disadvantaged Business, Woman Owned",238110,,,"480 CENTER ST APT B, , CHULA VISTA, CA 91910-8404",91910
SELECT STRATEGY GROUP LLC,GONZALO SAENZ,,44 SEA CREST DR,,CHULA VISTA,CA,91910-1432,,gasaenz84@gmail.com,9Z9V2,52,073,UPHSRG19BD53,,,1231,,USA,CA,08/15/2024,Branch,7320,703-407-3557,,,2024,SC,,"Hispanic American, Self-Certified Small Disadvantaged Business","518210, 541330, 541330, 541330, 541330, 541511, 541512, 541513, 541519, 541519, 541611, 541612, 541614, 541618, 541690, 541990, 561110, 561499, 611430, 611710",,,"44 SEA CREST DR, , CHULA VISTA, CA 91910-1432",91910
DANA MCLAUGHLIN,DANA MCLAUGHLIN,,753 FIRST AVE,,CHULA VISTA,CA,91910-6031,,socalbiological@gmail.com,9ZLU6,52,073,ZZFQC7WRH5G9,,,1231,,,,08/23/2024,Branch,7320,619-253-5250,SOCAL BIOLOGICAL CONSULTING,,2011,SL,,Woman Owned,541690,,,"753 FIRST AVE, , CHULA VISTA, CA 91910-6031",91910
PANTERAX LTD,PAUL PANTERA,,1415 SUMMIT DR,,CHULA VISTA,CA,91910-6847,,panteraxltd@gmail.com,9ZN97,52,073,L2Z9YDB247Z7,,,1231,,USA,CA,08/30/2024,Branch,7320,619-799-0180,,,2020,SC,,"Black American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Veteran","424350, 458110, 516210, 561499",,,"1415 SUMMIT DR, , CHULA VISTA, CA 91910-6847",91910
JACOB C COON,JACOB COON,,94 I ST,,CHULA VISTA,CA,91910-4924,,7seasvans@gmail.com,9ZSB6,52,073,KHZBVG6J9CJ5,,,1231,,USA,CA,09/25/2024,Branch,7320,619-227-8251,7 SEAS VANS,www.sevenseasvans.com,2024,SL,,"Self-Certified Small Disadvantaged Business, Service-Disabled Veteran, Veteran","236118, 236220, 238350, 238910, 238990, 238990, 332999, 337127, 423830, 532490, 561720, 561740, 561790, 562119, 562991, 811490, 812310, 812320, 812331, 812332",,,"94 I ST, , CHULA VISTA, CA 91910-4924",91910
VETERANS TEK INC,RAMNAIK VANKADOTHU,,938 PASEO ENTRADA,,CHULA VISTA,CA,91910-6721,,ramnaik.us@gmail.com,08E48,52,073,NXBHPZCBCND3,,,1224,,USA,CA,11/05/2024,Branch,7320,619-995-9437,,,2024,SC,,"Asian Pacific American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Veteran","541214, 541511, 541519, 541519, 541611, 541990, 561110, 561311, 561320",,,"938 PASEO ENTRADA, , CHULA VISTA, CA 91910-6721",91910
VYOMESH HOSPITALITY LLC,NOAH DANNER,,230 BROADWAY,,CHULA VISTA,CA,91910-2303,,noah@ellishospitality.com,0QMJ4,52,073,DQFVA9PEKND5,,,1231,,USA,CA,01/17/2025,Branch,7320,951-306-6375,VAGABOND INN,https://www.hotelpalmeraschulavista.com/,2008,LL,,"Other Minority Owned, Subcontinent Asian American",721110,,,"230 BROADWAY, , CHULA VISTA, CA 91910-2303",91910
THOMAS H LAURIN,THOMAS LAURIN,,142 THIRD AVE UNIT 1,,CHULA VISTA,CA,91910-1842,,thomas.h.laurin@outlook.com,0QNU5,52,073,K6K2CZ4XJKB1,,,1231,,USA,CA,01/17/2025,Branch,7320,619-397-8520,,,2024,SL,,Veteran,541690,,,"142 THIRD AVE UNIT 1, , CHULA VISTA, CA 91910-1842",91910
SELAH'S TRUCKING LLC,JOSEPH JENNINGS,,681 HILLTOP DR,,CHULA VISTA,CA,91910-6003,,joeyletgod@yahoo.com,0REP6,52,073,LUMNT77UA8U1,,,1231,,USA,CA,01/31/2025,Branch,7320,619-372-8736,,,2022,LL,,"Black American, Self-Certified Small Disadvantaged Business",561320,,,"681 HILLTOP DR, , CHULA VISTA, CA 91910-6003",91910
JORGE ROSALES,IVAN ROSALES,,1290 CAMINO CATALONIA,,CHULA VISTA,CA,91910-6852,,ivan@santanaelectronics.com,0SQ08,52,073,SBVGXG7QS9M5,,,1231,,USA,CA,02/11/2025,Branch,7320,619-317-9993,SANTANA ELECTRONICS,,1990,SL,,Hispanic American,"333998, 423430, 423440, 423690, 423830, 423990, 424120",,,"1290 CAMINO CATALONIA, , CHULA VISTA, CA 91910-6852",91910
MARYLAND LOGISTICS INC,CECILIA DE JESUS CORRALES GARCIA,,408 SANIBELLE CIR UNIT 46,,CHULA VISTA,CA,91910-7548,,ceciliacorrales@marylandli.com,106M7,52,073,VU1SWJHWNMW1,,,1231,,USA,CA,02/26/2025,Branch,7320,619-977-9940,,,2021,CP,,"Hispanic American, Self-Certified Small Disadvantaged Business, Woman Owned","484110, 484121, 484122",,,"408 SANIBELLE CIR UNIT 46, , CHULA VISTA, CA 91910-7548",91910
PALOMAR TECHNOLOGIES INC,CORNELIA SHADAN,Marketing Services Manager,6305 EL CAMINO REAL,,CARLSBAD,CA,92009-1606,"Palomar is the leading supplier of automated assembly equipment that manufacturers optoelectronic and high frequency wireless components. The products enable manufacturers improve yield, shorten assembly times, and increase profits.",cshadan@bonders.com,1CGD3,49,073,MF3YKSXTSJ75,,760-931-5191,1231,,USA,DE,04/16/2024,Branch,7320,760-931-3612,,http://www.palomartechnologies.com,1995,CP,,Veteran,"333242, 334413",,,"6305 EL CAMINO REAL, , CARLSBAD, CA 92009-1606",92009
"CFM-SAN DIEGO, INC",NORMA MILLER,Office Manager/Inside Sales,2784 GATEWAY RD STE 103,,CARLSBAD,CA,92009-1750,Manufacturers representative selling control and instrumentation devices,normamiller@cfmsd.com,1HVR5,49,073,GESDM4LNFD83,http://www.cfmsd.com,760-434-9179,1231,,USA,CA,02/04/2025,Branch,7320,760-434-8829,,http://www.cfmsd.com,1987,SC,,"Hispanic American, Other Minority Owned, Self-Certified Small Disadvantaged Business","423830, 423990",,,"2784 GATEWAY RD STE 103, , CARLSBAD, CA 92009-1750",92009
SYNAPSE INTERNATIONAL INC,EDWARD AHLBORN,PRESIDENT,1909 ALGA RD,UNIT B,CARLSBAD,CA,92009-6105,"CAPT, USN(RET). 26 YEARS IN NUC SUB FORCE. RET 1989. 18 YEARS IN DEF INDUSTRY IN BOTH TECH AND BD ROLES. CONSULTED WITH SMALL STARTUPS FOR MGMT, ADMIN AND FINANCIAL ASSIST. GLOBAL INTL MKTG EXPERIENCE IN DEF ARENA. 20+ IN-COUNTRY AGENTS.",dickahlborn@gmail.com,0V5X1,49,073,QLGGM7HJBBY3,,,1231,,USA,CA,08/29/2024,Branch,7320,858-518-5011,,,1991,CP,"R and D, Service",Veteran,"541330, 541330, 541330, 541330, 541611, 541613, 541618, 541690, 541990",,,"1909 ALGA RD, UNIT B, CARLSBAD, CA 92009-6105",92009
"APPLIED SPECTRAL IMAGING, INC.",REUT SAGIV,,6160 INNOVATION WAY,,CARLSBAD,CA,92009-1728,,reut@spectral-imaging.com,09MJ4,49,073,CCBVH1CL7HJ3,,760-929-2842,1231,,USA,DE,02/14/2025,Branch,7320,760-929-2840,"APPLIED SPECTRAL IMAGING, INC.",www.spectral-imaging.com,1994,CP,,,"423450, 811210",,,"6160 INNOVATION WAY, , CARLSBAD, CA 92009-1728",92009
259 HOLDINGS LTD LLC,CHARISA CLARKSON,,6122 INNOVATION WAY,,CARLSBAD,CA,92009-1728,"Retailer of microscope products for Universities, Professionals, schools, and many other applications. Microscopes include digital, low power, high power, specialized setups and microscope accessories.",cclarkson@microscopeworld.com,431P3,49,073,MJPVMDZTP4H5,http://www.microscopeworld.com/,760-438-0553,1231,,USA,CA,10/10/2024,Branch,7320,760-438-0528,MICROSCOPE WORLD,http://www.microscopeworld.com,2005,LL,Service,Woman Owned,"333310, 423490",,,"6122 INNOVATION WAY, , CARLSBAD, CA 92009-1728",92009
"DW TRAINING AND DEVELOPMENT, INC.",DEBORAH WOOLDRIDGE,,3281 AVENIDA DE SUENO,,CARLSBAD,CA,92009-9539,ttcInnovations is the leading training vendor committed to providing effective and engaging customized learning solutions aligning business goals with the needs of the emerging workforce,debbie.wooldridge@ttcinnovations.com,4EVE6,49,073,LLNRPTCACKN5,http://www.ttcinnovations.com,,1231,,USA,KS,11/21/2024,Branch,7320,913-221-7196,DW TRAINING & DEVELOPMENT INC,http://ttcinnovations.com,2001,SC,Service,Woman Owned,"561320, 611430",,,"3281 AVENIDA DE SUENO, , CARLSBAD, CA 92009-9539",92009
"DIAMOND DOOR AND HARDWARE COMPANY, LIMITED LIABILITY COMPANY",DAVE BRELIANT,,6395 PASEO ESTABLO,,CARLSBAD,CA,92009-3024,,dave.diamonddoor@gmail.com,4JAK1,49,073,TTX4KFHZ2QE8,,,1231,,USA,CA,10/24/2024,Branch,7320,818-599-4987,DIAMOND DOOR & HARDWARE CO,,1992,PS,,Woman Owned,"236220, 321911, 326199, 332321, 332510",,,"6395 PASEO ESTABLO, , CARLSBAD, CA 92009-3024",92009
"MBK CONSULTANTS, INC.",BRUCE MATHERS,,6230 TOPIARY ST,,CARLSBAD,CA,92009-3063,"Provide Information Technology, Security Engineering, Management Consulting, Command,Control, Communications, Computers and Intelligence (C4I) design and integration services for both DoD and Commercial Customers.",bmathers@mbkconsultants.com,3ZEM0,49,073,GEXLJZ7FTWC3,http://www.mbkconsultants.com,,1031,,USA,NV,07/03/2024,Branch,7320,760-672-3727,MBK CONSULTANTS INC,,2003,CP,Service,"Self-Certified Small Disadvantaged Business, Service-Disabled Veteran, Veteran","541330, 541330, 541330, 541330, 541512, 541513, 541519, 541519, 541690",,,"6230 TOPIARY ST, , CARLSBAD, CA 92009-3063",92009
MULTIVARIABLE SOLUTIONS LLC,CHARLES HUNTER,,2958 CARRILLO WAY,,CARLSBAD,CA,92009-3027,"Full spectrum business consulting and basic legal services primarily scoping. Marketing, operations, finance, personnel, leadership, and team issues. Commercial photography including licensed aerial drone photography.",chuck@multivs.us,5EEN7,49,073,G1V8JPNGYFE4,https://www.multivariablesolutions.com,,1231,,USA,CA,08/23/2024,Branch,7320,760-268-1042,,http://www.multivariablesolutions.com,2009,LL,Service,"Asian Pacific American, Other Minority Owned, Woman Owned","541199, 541611, 541613, 541618, 541890, 541921, 541922, 561611, 611430",,,"2958 CARRILLO WAY, , CARLSBAD, CA 92009-3027",92009
NOVUS ORIGO INC.,PAUL CEVOLANI,,6016 RANCHO BRAVADO,,CARLSBAD,CA,92009-2236,"Novus Origo is an employee owned Certified Service Disabled Veteran Owned Small Business (SDVOSB) specializing in the delivery of Strategy, Management, and Organizational Transformation & Training Solutions that improve your organization's operational performance.",Paul.Cevolani@novusorigo.com,5EJF2,49,073,EM6MBJC29XY1,http://www.NovusOrigo.com,,1231,,USA,CA,01/09/2025,Branch,7320,760-438-4354,,http://www.novusorigo.com,2009,SC,Service,"Service-Disabled Veteran, Veteran","512110, 541330, 541330, 541330, 541330, 541511, 541611, 541612, 541614, 611420, 611430, 611710",,,"6016 RANCHO BRAVADO, , CARLSBAD, CA 92009-2236",92009
"KGB MEDIA, LLC",JACOB KNIGHT,,2794 GATEWAY RD,,CARLSBAD,CA,92009-1730,"We offer a full range of business development and marketing services. We specialize in public health and emergency response. Services include advertising, public relations, web based marketing, market research, conference and event planning.",jknight@redflashgroup.com,5KNV9,49,073,LS77GQMPTXU1,http://www.redflashgroup.com,,1223,,USA,CA,01/17/2025,Branch,7320,760-632-8280,,,2001,CP,Service,,"541511, 541611, 541613, 541810, 541910, 561920",,,"2794 GATEWAY RD, , CARLSBAD, CA 92009-1730",92009
"PANGIS, INC.",ALICE BREWSTER,,6353 EL CAMINO REAL STE B,,CARLSBAD,CA,92009-1607,"We specialize in geographic information systems (GIS) for both cultural and environmental resources and land planning, as well as Archaeological and Paleontological services. We have been providing professional geospatial and cultural services since 1998 for both public and private sector clients.",alice@pangis.com,1MRH5,49,073,NC3EGKMRD1K1,,760-884-3763,1231,,USA,CA,08/23/2024,Branch,7320,760-683-8335,,http://www.pangis.com,1998,SC,Service,"Self-Certified Small Disadvantaged Business, Woman Owned","541340, 541370, 541430, 541511, 541620, 541690, 541720, 541990",,,"6353 EL CAMINO REAL STE B, , CARLSBAD, CA 92009-1607",92009
ELECTRICAL DESIGN INCORPORATED- CONSULTING ENGINEERS,EDWARDO DAVID,,2212 PLAZA DE LAS FLORES,,CARLSBAD,CA,92009-6257,"EDI provides Green Building Design, which are energy efficient and environmentally responsible. Energy efficiency with reasonable capital cost is achievable through creative engineering.",edavid@edi-engineers.com,5WNC7,49,073,TL6RZTDKERV9,,,1231,,USA,CA,10/15/2024,Branch,7320,858-564-8985,,www.edi-engineers.com,2008,SC,Service,"Asian Pacific American, Other Minority Owned, Self-Certified Small Disadvantaged Business","541330, 541330, 541330, 541330",,,"2212 PLAZA DE LAS FLORES, , CARLSBAD, CA 92009-6257",92009
MCCRINK JOSEPH,JOSEPH MCCRINK,,2802 LUCIERNAGA ST,,CARLSBAD,CA,92009-5926,,jmccrink@kvastainless.com,68BE6,49,073,EHJGKZJ6YNP3,,,1231,,USA,CA,11/07/2024,Branch,7320,760-525-9926,KVA STAINLESS,http://www.kvastainless.com,2016,SL,,Self-Certified Small Disadvantaged Business,"331210, 332312, 332710, 332996, 336991, 339920, 541330, 541330, 541330, 541330",,,"2802 LUCIERNAGA ST, , CARLSBAD, CA 92009-5926",92009
"PINNACLE RECOVERY, INC.",MARGARET EARDLEY,,2774 GATEWAY RD,,CARLSBAD,CA,92009-1747,,MEARDLEY@AXISPINNACLE.COM,6HUC3,49,073,NPWNKZBJ2JV4,,760-929-6690,1231,,USA,CA,05/14/2024,Branch,7320,760-448-2119,PINNACLE RECOVERY INC,http://www.pinnaclerecovery.com,2000,SC,,,561440,,,"2774 GATEWAY RD, , CARLSBAD, CA 92009-1747",92009
"BELMONT WEST, INC.",MICHAEL JURADO,,2367 GEODE LN,,CARLSBAD,CA,92009-1736,"DEMOLITION, CONSTRUCTION, GENERAL CONTRACTING, SITE MANAGEMENT, RENOVATION, RESIDENTIAL, INDUSTRIAL, MILITARY, FEDERAL, STATE, LOCAL, UNLIMITED CONTRACTING (BUILDINGS, HIGHWAYS, PUBLIC UTILITIES), PROJECT MANAGEMENT, DESIGN-BUILD, GREEN, LEED, MAINTENANCE",michael.jurado@belmontwest.com,6PB26,49,073,JKKRU6NNK4H1,http://www.belmontwest.com,,1231,,USA,CA,11/06/2024,Branch,7320,619-507-7875,BELMONT WEST INC,,2011,SC,"Construction, Service","Hispanic American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Service-Disabled Veteran, Veteran","236118, 236210, 236220, 237110, 237310, 237990, 237990, 238110, 238190, 238210, 238220, 238290, 238320, 238330, 238390, 238910, 238990, 238990, 561110, 561210, 561320, 561622, 561710, 561720, 561740, 561790, 561990, 562910, 562910, 562998",,,"2367 GEODE LN, , CARLSBAD, CA 92009-1736",92009
D&M PUMPING LLC,MIKKI COOPER,,2870 RANCHO DIAMONTE,,CARLSBAD,CA,92009-2109,We are a minority owned business that specializes in hazardous waste removal and pick up.,dlmpumping@yahoo.com,7RTU5,49,073,N1CVNPYLPUM3,,,1231,,USA,CA,01/30/2025,Branch,7320,916-934-4715,,,2016,SL,Service,"Black American, Other Minority Owned, Woman Owned","238910, 324110, 332439, 532120, 532490, 541519, 541519, 561990, 562910, 562910, 562991, 562998, 811310",,,"2870 RANCHO DIAMONTE, , CARLSBAD, CA 92009-2109",92009
CAMS INNOVATIONS,CARMEN SKIPWORTH,,7478 AVENIDA DE PALAIS,,CARLSBAD,CA,92009-6941,"CAMS Information Systems provides software and hardware integration, help desk, network integration, installation services",carmenskip@sbcglobal.net,7FU50,49,073,MD87YD7W3L35,,,1231,,USA,CA,05/17/2024,Branch,7320,760-271-8297,,www.camsinnovations.com,2013,CP,Service,"Asian Pacific American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Woman Owned","334111, 336414, 532490, 541330, 541330, 541330, 541330, 541511, 541512, 541513, 541519, 541519, 541611, 541613, 541620, 561210, 561330, 561499, 611420",,,"7478 AVENIDA DE PALAIS, , CARLSBAD, CA 92009-6941",92009
CHANGE & LEADERSHIP SOLUTIONS LLC,KATHLEEN NAYLOR,,3104 RANCHO MONTANA,,CARLSBAD,CA,92009-1905,,mandknaylor@earthlink.net,7KTE1,49,073,W47DFVYC7RE8,,,1231,,USA,CA,08/30/2024,Branch,7320,760-814-2018,,,2015,LL,,Woman Owned,541611,,,"3104 RANCHO MONTANA, , CARLSBAD, CA 92009-1905",92009
